x0,y0,x1,y1,x2,y2,x3,y3
"(695.0, 889.5)","(484.5, 299.5)","(485.0, 300.0)"
"(697.5, 933.0)","(486.5, 307.0)","(485.5, 307.5)"
"(699.0, 933.5)","(487.0, 308.0)","(486.5, 308.0)"
"(696.0, 974.5)","(486.5, 310.0)","(487.5, 309.5)"
"(694.0, 1015.5)","(488.0, 314.0)","(488.0, 314.0)"
"(694.0, 1040.5)","(489.0, 316.0)","(489.5, 316.0)"
"(695.5, 1075.5)","(491.5, 318.0)","(491.0, 317.5)"
"(695.5, 1096.0)","(492.5, 321.5)","(492.5, 321.5)"
"(700.0, 1111.0)","(494.0, 323.0)","(494.0, 323.0)"
"(697.5, 1173.0)","(495.5, 328.0)","(494.0, 328.0)"
"(701.5, 1208.0)","(495.5, 332.0)","(495.5, 332.5)"
"(702.5, 1236.5)","(499.0, 337.0)","(496.5, 338.0)"
"(702.0, 1312.5)","(502.0, 344.5)","(500.5, 345.0)"
"(704.5, 1379.0)","(505.0, 350.5)","(504.0, 350.5)"
"(700.5, 1463.5)","(507.0, 354.5)","(507.0, 354.0)"
"(702.5, 1537.5)","(510.0, 360.5)","(508.5, 360.0)"
"(705.0, 1641.0)","(509.0, 364.5)","(509.5, 365.0)"
"(707.0, 1729.5)","(509.0, 368.0)","(509.5, 368.0)"
"(707.0, 1759.0)","(510.0, 372.0)","(509.5, 371.5)"
"(704.5, 1827.5)","(509.5, 375.0)","(509.0, 373.5)"
"(705.5, 1732.0)","(509.5, 377.0)","(509.0, 377.0)"
"(708.0, 1782.5)","(509.0, 380.5)","(510.5, 381.0)"
"(712.0, 1306.5)","(509.5, 385.0)","(510.0, 384.5)"
"(714.0, 1249.5)","(509.0, 388.5)","(509.0, 387.5)"
"(715.5, 1317.0)","(508.5, 394.0)","(507.0, 392.5)"
"(725.0, 1035.0)","(507.0, 399.0)","(507.5, 400.0)"
"(721.5, 893.5)","(504.5, 403.5)","(506.5, 404.0)"
"(720.0, 894.0)","(504.5, 406.0)","(504.5, 406.5)"
"(720.0, 737.0)","(502.5, 409.5)","(502.5, 409.5)"
"(714.0, 498.5)","(499.0, 414.0)","(499.5, 415.5)"
"(714.5, 346.0)","(497.5, 417.5)","(498.5, 418.5)"
"(713.5, 232.0)","(495.5, 421.5)","(497.0, 422.0)"
"(714.5, 166.0)","(494.5, 423.5)","(494.5, 424.0)"
"(715.5, 143.5)","(492.5, 427.5)","(493.0, 428.5)"
"(717.5, 151.5)","(491.0, 429.0)","(491.5, 430.5)"
"(720.0, 270.0)","(491.5, 425.5)","(491.0, 429.5)"
"(722.5, 355.0)","(488.0, 425.5)","(489.0, 427.0)"
"(734.0, 351.0)","(483.0, 426.0)","(482.5, 427.5)"
"(750.0, 342.0)","(478.0, 429.5)","(479.0, 429.5)"
"(763.0, 473.5)","(475.5, 433.0)","(475.0, 433.0)"
"(773.0, 486.5)","(471.5, 437.5)","(471.0, 437.5)"
"(780.5, 463.5)","(469.5, 442.5)","(468.5, 441.5)"
"(780.0, 478.5)","(467.5, 446.0)","(466.5, 444.5)"
"(781.0, 476.0)","(466.0, 445.5)","(465.5, 446.0)"
"(782.0, 493.5)","(465.5, 448.0)","(465.0, 448.5)"
"(781.0, 509.0)","(463.0, 449.5)","(463.5, 450.5)"
"(783.0, 514.0)","(459.0, 452.5)","(460.0, 452.5)"
"(784.5, 519.5)","(456.0, 455.5)","(456.5, 456.0)"
"(786.0, 508.5)","(452.5, 457.5)","(453.0, 457.5)"
"(783.5, 512.5)","(450.5, 460.0)","(451.5, 459.0)"
"(784.5, 529.5)","(450.5, 461.0)","(449.0, 461.5)"
"(782.5, 525.5)","(448.0, 461.5)","(448.5, 462.0)"
