x,y,X1,Y1,X2,Y2,,
417,401,,,,,,
417,402,,,,,,
417,402,,,,,,
417,403.5,,,,,,
417,404.5,,,,,,
418,405.5,,,,,,
419,406,,,,,,
418.5,408,,,,,,
419.5,408,,,,,,
419.5,409,,,,,,
420.5,410.5,,,,,,
421,409.5,,,,,,
421,410,,,,,,
421,410.5,,,,,,
420.5,411.5,,,,,,
420.5,412,,,,,,
420.5,413.5,,,,,,
418.5,413.5,,,,,,
418.5,413.5,,,,,,
417.5,414.5,,,,,,
418,417.5,,,,,,
417,418,,,,,,
415,418.5,,,,,,
414,420.5,,,,,,
412,421.5,,,,,,
411,424.5,,,,,,
410,425.5,,,,,,
409,427.5,,,,,,
409,429.5,,,,,,
409.5,430,,,,,,
410,431,,,,,,
410.5,431,,,,,,
411,432,,,,,,
411,431.5,,,,,,
411.5,431,,,,,,
412,431.5,,,,,,
413,431,,,,,,
413.5,431.5,,,,,,
414.5,432,,,,,,
414.5,432.5,,,,,,
414.5,432,,,,,,
414.5,432,,,,,,
414.5,433,,,,,,
414.5,433.5,,,,,,
414.5,434,,,,,,
415.5,434.5,,,,,,
415.5,435,,,,,,
416.5,435.5,,,,,,
416.5,436,,,,,,
416.5,436.5,,,,,,
416.5,436,,,,,,
416.5,437.5,,,,,,
417,438.5,,,,,,
418,439,,,,,,
417.5,439,,,,,,
417.5,439,,,,,,
418.5,440,,,,,,
417.5,439,,,,,,
419.5,440,,,,,,
419,439,,,,,,
419.5,440,,,,,,
420,439.5,,,,,,
421,439.5,,,,,,
422.5,439.5,,,,,,
422.5,439.5,,,,,,
423.5,439,,,,,,
423.5,439,,,,,,
424.5,438.5,,,,,,
424.5,439.5,,,,,,
424.5,439.5,,,,,,
425.5,440,,,,,,
425.5,439.5,,,,,,
425,440.5,,,,,,
425.5,441.5,,,,,,
426,442.5,,,,,,
427,442,,,,,,
427,442.5,,,,,,
428,443.5,,,,,,
428.5,443.5,,,,,,
428.5,443.5,,,,,,
429,444,,,,,,
428.5,444,,,,,,
428.5,444,,,,,,
429.5,445,,,,,,
429.5,444,,,,,,
429.5,444,,,,,,
430.5,445,,,,,,
430.5,446,,,,,,
430.5,445,,,,,,
429.5,445,,,,,,
429.5,446.5,,,,,,
429.5,447.5,,,,,,
427.5,447,,,,,,
427.5,447.5,,,,,,
427,448.5,,,,,,
426.5,448.5,,,,,,
425.5,448.5,,,,,,
425,449.5,,,,,,
425,451.5,,,,,,
423.5,451,,,,,,
424,452.5,,,,,,
422.5,453.5,,,,,,
422,453.5,,,,,,
421.5,454.5,,,,,,
421.5,455.5,,,,,,
420.5,455.5,,,,,,
421.5,456.5,,,,,,
419.5,456.5,,,,,,
419.5,457.5,,,,,,
